# Xbs Ybs THbs Xgl Ygl THgl Xlc Ylc THlc time
-0.224705 0.492556 17.005214  0.274800 0.538666 13.894117  0.066808 1.022379 3.112593  1445405516.439192
-0.224970 0.491612 17.004790  0.000980 -0.000000 -0.000423  0.651346 0.869232 -10.781947  1445405516.489472
-0.225897 0.488303 17.006822  0.004416 0.000001 0.001609  0.650614 0.872590 -10.779915  1445405516.539656
-0.227483 0.482569 17.011536  0.010367 0.000023 0.006322  0.649329 0.878399 -10.775202  1445405516.589953
-0.229683 0.474434 17.018676  0.018793 0.000103 0.013462  0.647461 0.886617 -10.768062  1445405516.640316
-0.232446 0.463865 17.028384  0.029716 0.000297 0.023171  0.644951 0.897249 -10.758353  1445405516.690523
-0.236048 0.449396 17.042383  0.044619 0.000738 0.037169  0.641354 0.911719 -10.744355  1445405516.740684
-0.239435 0.434868 17.059711  0.059523 0.001402 0.054497  0.637540 0.926141 -10.727026  1445405516.790850
-0.242564 0.420227 17.078592  0.074464 0.002344 0.073378  0.633445 0.940542 -10.708146  1445405516.841024
-0.245410 0.405520 17.099166  0.089393 0.003578 0.093952  0.629069 0.954868 -10.687571  1445405516.891201
-0.247936 0.390755 17.122054  0.104292 0.005134 0.116841  0.624383 0.969095 -10.664683  1445405516.941651
-0.250105 0.375942 17.147596  0.119140 0.007048 0.142382  0.619359 0.983199 -10.639142  1445405516.991898
-0.251883 0.361052 17.175451  0.133957 0.009358 0.170238  0.613954 0.997187 -10.611286  1445405517.042306
-0.253228 0.346116 17.206016  0.148700 0.012098 0.200802  0.608145 1.011011 -10.580721  1445405517.092731
-0.254098 0.331162 17.239121  0.163333 0.015300 0.233907  0.601908 1.024630 -10.547617  1445405517.143082
-0.254453 0.316196 17.274653  0.177840 0.019001 0.269439  0.595210 1.038019 -10.512085  1445405517.193428
-0.254264 0.301214 17.312245  0.192213 0.023231 0.307032  0.588023 1.051167 -10.474492  1445405517.243903
-0.253504 0.286229 17.349527  0.206436 0.028010 0.344313  0.580332 1.064049 -10.437211  1445405517.294440
-0.252210 0.271285 17.384184  0.220474 0.033294 0.378970  0.572187 1.076644 -10.402553  1445405517.344800
-0.250199 0.254945 17.421410  0.235663 0.039643 0.416196  0.562755 1.090139 -10.365328  1445405517.395150
